compost 58.4382 0 4610 2 22048.728813 20533.6455072
compost 54.3921 0 4500 2 22048.788826 20550.6455072
compost 57.3490 0 4500 2 22048.788823 20593.6455072
metal 9.8871 1 26715 2 22049.1666302 20131.4789194
metal 10.2374 1 30498 2 22049.6156605 19922.597629
metal 9.9913 2 29498 3 22049.9136405 19929.593649
plastic 20.827 0 18247 1 22049.7330921 20356.614401
plastic 22.317 0 18347 1 22049.8347293 20356.374839
metal 49.5036387386 0 31005 2 22050.3277197 19610.2724527
metal 13.2270479567 0 30340 3 22049.7624574 19763.4115161
metal 10.3739037134 0 30474 1 22048.9699463 19727.3254478
