compost 57.4382 1 4610 2 22048.728813 20533.6455072
compost 54.3921 1 4500 2 22048.788826 20550.6455072
compost 57.3490 1 4500 2 22048.788823 20593.6455072
metal 9.8871 0 26715 2 22049.1666302 20131.4789194
metal 10.2374 0 30498 2 22049.6156605 19922.597629
metal 9.9913 0 29498 3 22049.9136405 19929.593649
plastic 20.827 0 18247 1 22049.7330921 20356.614401
plastic 22.317 0 18347 1 22049.8347293 20356.374839
metal 10.7914256391 0 30524 1 22048.6408861 19914.3470752
metal 10.8301455495 0 24970 2 22049.4109668 19910.5045181
metal 10.7813957828 0 30461 1 22049.9221453 19825.6530152
plastic 18.5319089382 0 12897 2 22049.2747086 20583.7399296
plastic 19.5894756484 1 13930 0 22048.3173119 20737.1595838
plastic 19.2472942713 0 16114 1 22049.2003231 20607.9151036
plastic 18.3586023512 0 15610 0 22049.1515481 20945.7894523
plastic 19.4945418921 0 14277 1 22050.1954125 20423.6794075
metal 10.8201156932 0 28109 3 22048.2781503 19857.1387665
metal 9.8703116253 0 16952 1 22049.3298462 19963.4996935
metal 10.6727001306 0 19266 1 22048.174393 19955.5821546
metal 10.606223176 0 17223 2 22049.921519 20051.2842885
metal 9.81409777944 0 30437 1 22050.1859902 20015.5759805
plastic 17.1006717671 0 13416 1 22048.1273783 20259.0422948
compost 62.0827113267 1 2461 1 22044.5419528 20207.0649561
compost 57.9884306774 1 2956 1 22048.042543 20301.8718164
compost 59.5988057473 1 2390 1 22043.4675897 20314.7515829
